,Title,Price,Ratings,Notes,Product link
16,"Logitech K540e Wireless Keyboard and M185 Wireless Mouse Combo — Keyboard and Mouse Included, Long Battery Life (with Mouse)",$19.99,"2,454",4.2 out of 5 stars,amazon.com/Logitech-K540e-Wireless-Keyboard-Mouse/dp/B0B2C6DG4J/ref=sr_1_9617?qid=1661054033&s=computers-intl-ship&sr=1-9617
17,Uniwork Compatible Ink Cartridge Replacement for HP 564 564XL Replacement for Photosmart 6520 5520 4620 5510 C410a 6525 5514 OfficeJet 7510 4620 DeskJet 3522 Printer Tray (4BK/2C/2M/2Y) 10 Pack,$9.99,147,4.0 out of 5 stars,amazon.com/Uniwork-Compatible-Cartridge-Replacement-Photosmart/dp/B07S3RZCC3/ref=sr_1_9618?qid=1661054033&s=computers-intl-ship&sr=1-9618
18,KAIWEI Apple MFi Lightning Cable iPhone Charger Cable iPhone 13 12 11 Pro XS MaxxXR 8 7 6 Plus iPad Fast USB Cord Accessories Car Charging Cable,$33.98,"2,443",4.4 out of 5 stars,amazon.com/KAIWEI-Lightning-Charger-Accessories-Charging/dp/B09GFVL2NW/ref=sr_1_9619?qid=1661054033&s=computers-intl-ship&sr=1-9619
19,"Thrustmaster T300 Ferrari Integral RW Alcantara Edition (PS3, PS4, PC)",$29.59,28,4.8 out of 5 stars,amazon.com/Thrustmaster-T300RS-Racing-Wheel-playstation-4/dp/B015KJ0SES/ref=sr_1_9620?qid=1661054033&s=computers-intl-ship&sr=1-9620
20,"DOUBLE D LC3037 Ink Cartridges Compatible Replacement for Brother LC3037 LC3037XXL LC3039, High Yield use with MFC-J6945DW MFC-J5845DW XL MFC-J5945DW MFC-J6545DW XL (1 Each of lc3037 BK/C/M/Y) 4 Pack",$39.99,455,4.5 out of 5 stars,amazon.com/DOUBLE-Replacement-Brother-MFC-J6945DW-lc3037/dp/B09P4TW63T/ref=sr_1_9621?qid=1661054033&s=computers-intl-ship&sr=1-9621
21,"USB-C Charge Cable Cord Wire & Wall AC Adapter/Fast Charger for New Beats Flex, Studio Buds, Fit Pro, Sony, JBL & Other Wireless/True Wireless Earbuds & Speakers with USB Type C Port",$63.99,132,4.3 out of 5 stars,amazon.com/Adapter-Charger-Wireless-Bluetooth-Speakers/dp/B08TTPY43G/ref=sr_1_9622?qid=1661054033&s=computers-intl-ship&sr=1-9622
22,"G-LAB Combo Argon E - 4-in-1 Gaming Bundle - Backlit QWERTY Gamer Keyboard, 3200 DPI Gamer Mouse, Gaming Headset, Non-Slip Mouse Pad - PC PS4 PS5 Xbox One Gamer Pack",$21.99,62,4.5 out of 5 stars,amazon.com/G-LAB-Combo-ARGON-4-1-Keyboard/dp/B08425LKNB/ref=sr_1_9623?qid=1661054033&s=computers-intl-ship&sr=1-9623
23,"USB C to USB C Cable 100W,[2-Pack 6.6ft Right Angle] SUMPK USB 3.1 Fast Charging Cord 90 Degree 20V/5A Type C PD Cable MacBook Pro 2020/2019/2018, iPad Pro 2020/18/Air 4, Galaxy S21/20/Note 20",$26.99,2,5.0 out of 5 stars,amazon.com/2-Pack-SUMPK-Charging-Degree-MacBook/dp/B09GBDDCT7/ref=sr_1_9624?qid=1661054033&s=computers-intl-ship&sr=1-9624
24,"KOLMAX K10 Wireless Gaming Keyboard,Rechargeable 2.4G Transparent Case RGB Backlit with PBT Ball Keycap,Ergonomic Wireless Keyboard with Mechanical Feeling 104 Keys for PC Mac Win Gaming Office White",$3.99,81,4.3 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A0386845C8YKAKJY3D0X&url=%2FKOLMAX-K10-Wireless-Rechargeable-Transparent%2Fdp%2FB0B4ZY3RBY%2Fref%3Dsr_1_9601_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9601-spons%26psc%3D1%26smid%3DARP4L7NN448KH&qualifier=1661054036&id=7759426383539668&widgetName=sp_atf_browse
25,"USB C Hub, HUBFINDER 9 in 1 Multiport Adapter with 100W Power Delivery，4K HDMI Output，3 USB3.0 and USB-C 5 Gbps Data Ports，SD/TF Card Reader，3.5mm Headphone Jack，for MacBook Air, MacBook Pro,iPad Pro",$499.99,67,4.3 out of 5 stars,amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_computers-intl-ship_sr_pg401_1?ie=UTF8&adId=A09329612CXKGHSP9T56J&url=%2FHUBFINDER-Multiport-Delivery%25EF%25BC%258C4K-Reader%25EF%25BC%258C3-5mm-Headphone%2Fdp%2FB0B7XDJPZY%2Fref%3Dsr_1_9602_sspa%3Fqid%3D1661054036%26s%3Dcomputers-intl-ship%26sr%3D1-9602-spons%26psc%3D1&qualifier=1661054036&id=7759426383539668&widgetName=sp_atf_browse
